"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"220006","Total number of national feature films produced","GBR","United Kingdom of Great Britain and Northern Ireland","2009","2009",313,,
"220006","Total number of national feature films produced","GBR","United Kingdom of Great Britain and Northern Ireland","2010","2010",346,,
"220006","Total number of national feature films produced","GBR","United Kingdom of Great Britain and Northern Ireland","2011","2011",299,,
"220006","Total number of national feature films produced","GBR","United Kingdom of Great Britain and Northern Ireland","2012","2012",326,,
"220006","Total number of national feature films produced","GBR","United Kingdom of Great Britain and Northern Ireland","2013","2013",241,,
"220006","Total number of national feature films produced","GBR","United Kingdom of Great Britain and Northern Ireland","2014","2014",339,,
"220006","Total number of national feature films produced","GBR","United Kingdom of Great Britain and Northern Ireland","2015","2015",298,,
"220006","Total number of national feature films produced","ALB","Albania","2014","2014",3,,
"220006","Total number of national feature films produced","ALB","Albania","2015","2015",7,,
"220006","Total number of national feature films produced","ARM","Armenia","2005","2005",10,,
"220006","Total number of national feature films produced","ARM","Armenia","2006","2006",8,,
"220006","Total number of national feature films produced","ARM","Armenia","2007","2007",4,,
"220006","Total number of national feature films produced","ARM","Armenia","2008","2008",3,,
"220006","Total number of national feature films produced","ARM","Armenia","2009","2009",5,,
"220006","Total number of national feature films produced","ARM","Armenia","2010","2010",2,,
"220006","Total number of national feature films produced","ARM","Armenia","2011","2011",5,,
"220006","Total number of national feature films produced","ARM","Armenia","2012","2012",24,,
"220006","Total number of national feature films produced","ARM","Armenia","2013","2013",28,,
"220006","Total number of national feature films produced","ARM","Armenia","2014","2014",36,,
"220006","Total number of national feature films produced","ARM","Armenia","2015","2015",37,,
"220006","Total number of national feature films produced","BLR","Belarus","2005","2005",2,,
"220006","Total number of national feature films produced","BLR","Belarus","2006","2006",2,,
"220006","Total number of national feature films produced","BLR","Belarus","2007","2007",7,,
"220006","Total number of national feature films produced","BLR","Belarus","2008","2008",7,,
"220006","Total number of national feature films produced","BLR","Belarus","2009","2009",8,,
"220006","Total number of national feature films produced","BLR","Belarus","2010","2010",2,,
"220006","Total number of national feature films produced","BLR","Belarus","2011","2011",1,,
"220006","Total number of national feature films produced","BIH","Bosnia and Herzegovina","2007","2007",7,,
"220006","Total number of national feature films produced","BIH","Bosnia and Herzegovina","2008","2008",10,,
"220006","Total number of national feature films produced","BIH","Bosnia and Herzegovina","2009","2009",6,,
"220006","Total number of national feature films produced","BIH","Bosnia and Herzegovina","2010","2010",5,,
"220006","Total number of national feature films produced","BIH","Bosnia and Herzegovina","2011","2011",7,,
